,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid,feedback
6,"[79217, 80245, 82690]","[u'left', u'left', u'up']","[44048, 48166, 53238, 56293, 57621, 59325, 60781, 63021, 65308, 66522, 69742, 75861]","[u'4', u'8', u'14', u'15', u'2', u'7', u'5', u'9', u'10', u'11', u'13', u'16']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 4, 8, 14]","[79216, 2, 1509]",32.8,691257,5.0,1.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
7,"[37579, 38515, 39711]","[u'up', u'up', u'left']","[7077, 9125, 10435, 11333, 14727, 16384, 17429, 19637, 20773, 21878, 23709, 25293, 26725, 28262]","[u'4', u'8', u'14', u'15', u'3', u'7', u'12', u'13', u'10', u'11', u'2', u'17', u'16', u'5']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 3, 7, 12]","[37579, 226, 292]",35.6,740618,6.0,2.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
8,"[54411, 55260, 56617]","[u'right', u'right', u'up']","[2083, 4185, 5090, 6466, 7921, 9145, 9993, 12889, 13746, 15579, 16545, 17879, 21376, 22633, 25720, 29391]","[u'4', u'8', u'14', u'15', u'7', u'13', u'12', u'10', u'11', u'17', u'16', u'5', u'9', u'2', u'6', u'3']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 2, 6, 10]","[54411, 311, 466]",20.4,800567,7.0,3.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
9,"[29389, 30424, 37889]","[u'down', u'down', u'left']","[3738, 5010, 6802, 7848, 9249, 10209, 12713, 13625, 16800, 17961, 19634, 21841, 27257]","[u'15', u'14', u'8', u'4', u'12', u'13', u'10', u'11', u'17', u'16', u'5', u'9', u'2']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 5, 9, 16]","[29389, 299, 6527]",44.7,848187,1.0,4.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
10,"[40253, 41212, 43834]","[u'down', u'down', u'right']","[12512, 13908, 15357, 16180, 16900, 17621, 19956, 21116, 24430, 25953, 30315, 31512, 35853, 37660]","[u'12', u'13', u'14', u'15', u'16', u'17', u'11', u'10', u'2', u'6', u'5', u'9', u'3', u'7']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 5, 9, 17]","[40253, 237, 1710]",40.6,896212,4.0,5.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
11,"[66538, 67392, 68615]","[u'right', u'right', u'up']","[8178, 9154, 11994, 13295, 14118, 15433, 16561, 17545, 22892, 23855, 25329, 26297, 29874, 30682]","[u'15', u'14', u'12', u'13', u'10', u'11', u'17', u'16', u'4', u'8', u'6', u'2', u'3', u'7']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 2, 6, 10]","[66537, 167, 314]",32.6,968242,3.0,6.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
12,"[64701, 65381, 67169]","[u'right', u'right', u'up']","[3300, 4573, 5775, 6997, 8669, 10287, 11293, 12689, 23117, 26851, 27828, 31196, 32180, 50204]","[u'15', u'14', u'12', u'13', u'10', u'11', u'17', u'16', u'3', u'6', u'2', u'5', u'9', u'7']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 2, 6, 10]","[64700, 2, 906]",32.6,1039295,2.0,7.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
13,"[38102, 38860, 41612]","[u'left', u'left', u'down']","[5641, 6569, 7617, 8554, 9923, 11105, 11939, 12960, 14417, 15613, 17744, 18601, 21974, 24159]","[u'14', u'15', u'12', u'13', u'10', u'11', u'17', u'16', u'8', u'4', u'6', u'2', u'7', u'3']",4.0,"[-4, -4, -4]",0.1,45.0,"[1, 4, 8, 15]","[38102, 86, 1819]",38.6,1087535,0.0,8.0,graph,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0,True
43,"[19094, 121768, 123964]","[u'up', u'up', u'left']","[2521, 8253, 10721, 13009, 13924, 106670, 107712, 108871, 109536, 110394, 111959, 112571, 113508, 114213]","[u'12', u'3', u'4', u'7', u'13', u'2', u'5', u'9', u'17', u'16', u'11', u'6', u'8', u'14']",4.0,"[81, -4, -4]",0.1,45.0,"[1, 3, 7, 12]","[19093, 20645, 997]",21.6,1254021,4.0,1.0,graph,A154X03NKVZZL1,33FOTY3KEMLUVZ99J5FBINNVRBQC1Z,1,True
44,"[9023, 51656, 53488]","[u'up', u'up', u'right']","[1913, 3978, 5762, 6788, 46539, 47904, 50076]","[u'3', u'4', u'2', u'5', u'7', u'13', u'12']",4.0,"[33, -4, -4]",0.1,45.0,"[1, 3, 7, 13]","[9022, 8433, 665]",20.3,1336407,1.0,2.0,graph,A154X03NKVZZL1,33FOTY3KEMLUVZ99J5FBINNVRBQC1Z,1,True
