,1,2,code_version,worker_id,assignment_id,pid
0,,,,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
1,,,,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
2,,,,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
3,,,,A154B3Q5DTHN7,3ZPPDN2SLVWRH2WIJ90ZNH5HAZ8E9K,3
4,,,,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
5,,,,A15V8K8M4TXT9Y,31JLPPHS2UURERKRWE2L1GW9E943OW,5
6,,,,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
7,,,,A17F06M11XQX6S,3OVHNO1VE611VN0VRCJEUNPPPRYZDW,7
8,,,,A17Z6G1TRE4322,3TAYZSBPLL8HR1G1ZV5P2B1I5K6S26,8
9,,,,A19WXS1CLVLEEX,3WJ1OXY92AGODKWWYCSZR2KF5ERA8V,9
10,,,,A1AHYAWHM0ML7H,3PXX5PX6LXY7FIU31OC9I4AGDKEBAX,10
11,,,,A1ALBJU1XOKYFH,3CN4LGXD5XOOQ17X2FG2DCMH6JZY4N,11
12,,,,A1BJCRGERW6Z6Y,3COPXFW7XBCFVP4ZWK7Z72I1Z1OPKE,12
13,,,,A1D36KAPWAUPTJ,3TVSS0C0E104IHRN2FZM0NDTBBIWTM,13
14,,,,A1DC5MIXX6SMUJ,3W92K5RLWUHPIQGSB9CSB5O1OZU5VU,14
15,,,,A1EQ2HDHF2WWSY,3NPI0JQDAO5EY8UMQTLR8T5XIEFPTK,15
16,,,,A1FYTTGF0QACU9,3OCHAWUVGOKK4Y6QIBHG1F441ZUKXS,16
17,,,,A1GN9TMCN82WPL,3R2UR8A0IAG3UPR5G3998WLDL45OXH,17
18,,,,A1IZ4NX41GKU4X,3X3OR7WPZZ0593N0V3HP0G0QZRTL8T,18
19,,,,A1J0IHJ61FFDUF,3ZWFC4W1UU7PRGS081KRWKQBSMSFRP,19
