,button_pressed,rt,stimulus,time_elapsed,trial_type,worker_id,assignment_id,pid
26,0.0,8200,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $4.07</p>",1205769,button-response,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
51,0.0,8126,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $4.88</p>",2000034,button-response,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
76,0.0,5965,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $2.17</p>",1836133,button-response,A1CH3TODZNQCES,3IX2EGZR7BJ5WIEWRRBCBII2I3NJRP,2
123,0.0,6642,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.02</p>",2421793,button-response,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
146,0.0,4864,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.22</p>",1137944,button-response,A1PTH9KTRO06EG,3NOKK93PR188CYNZRKGLFV6RY61EEM,4
173,0.0,12580,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.23</p>",1907751,button-response,A1YVMDRR9W1LZ1,3XUHV3NRVKYK0PL86KVOW4XRDTUH54,5
210,0.0,7033,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.21</p>",1770417,button-response,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
237,0.0,3256,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $4.64</p>",1889383,button-response,A28FMRMS9TMEOZ,3483FV8BEEJC43I4SI2M165PK4H26F,7
260,0.0,2991,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $2.75</p>",1453208,button-response,A2E9NUZZ4S2VJ9,3YJ6NA41JBGKK5YHEZ7N6NINHLZJPX,8
285,0.0,4242,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $4.48</p>",1292950,button-response,A2MCG5W6LHSRG9,3JC6VJ2SABJ5Q2DU0ELWFIAN0Y45AH,9
308,0.0,4408,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $2.68</p>",1166110,button-response,A2NA2OJT15COZY,3Q5ZZ9ZEVOFR7EKF3G1IJR4SAA458D,10
333,0.0,4997,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $4.93</p>",1344245,button-response,A2VRDE2FHCBMF8,38F5OAUN5NCZNTZRUDALUOBN4ZPH7J,11
380,0.0,5867,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.40</p>",2062620,button-response,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
407,0.0,3696,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.22</p>",1312547,button-response,A32QJF67JMJFKX,326O153BMIY3KS9ZVP519DO6YU0EDT,13
442,0.0,2377,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.68</p>",1641539,button-response,A3AO2N7BNFDGF3,3NGI5ARFTT5DPOIDOA1H2NM1N4ZP1Z,14
469,0.0,10621,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $2.89</p>",1309186,button-response,A3G00Q5JV2BE5G,3CCZ6YKWR7JRLJ3P887WJNZ3UGM592,15
498,0.0,4893,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.75</p>",1759582,button-response,A3GPTSDDHJ2DBV,3HUTX6F6VUN2T9O8SEOGI6RG55H2OC,16
521,0.0,5267,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.67</p>",1194218,button-response,A3KX8PBHVFQZ3U,3QAPZX2QN4DHQSWPQTM5S5VY71V02C,17
556,0.0,2566,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.87</p>",2147695,button-response,A4J4GGMKJ68L0,34HJIJKLP5W7M7CSX4TI6DIMLB44V4,18
579,0.0,3882,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $1.85</p>",1276584,button-response,ACNPJ7WXOGX5M,3W8CV64QJ2Z31CNK9A858K2TZPD9HN,19
610,0.0,5564,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $5.46</p>",1275323,button-response,AD7CUW86FWEKT,3OJSZ2ATDSWN70FWTB9C5R8XZQY57Q,20
639,0.0,9286,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your profits was randomly selected as your bonus. You will be awarded a bonus of $3.40</p>",3060311,button-response,AUI3R928P63B0,3Z4GS9HPNVA2U4TFH4O93BMTQWT777,21
