,actionTimes,actions,clickTimes,clicks,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
8,"[51738, 71162, 72820]","['right', 'right', 'down']","[4779, 15673, 19381, 22856, 26097, 38693]","['2', '7', '6', '8', '9', '10']",0.05,45.0,"[1, 2, 6, 11]","[51738, 4741, 15]",0.76,521847,13.0,1.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
9,"[5687, 25484, 31527]","['right', 'right', 'down']","[4902, 28209, 29440]","['2', '11', '10']",0.05,45.0,"[1, 2, 6, 11]","[5687, 1078, 4322]",0.02,587846,5.0,2.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
10,"[6028, 215895, 220952]","['left', 'left', 'down']","[4098, 219130, 220238]","['4', '14', '15']",0.05,45.0,"[1, 4, 8, 15]","[6028, 195166, 3365]",0.56,813349,9.0,3.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
11,"[16671, 25341, 26641]","['left', 'left', 'down']","[1997, 2938, 4094, 4817, 7235, 8891, 9937, 10917, 22882, 23906]","['5', '4', '3', '2', '8', '7', '6', '9', '15', '14']",0.05,45.0,"[1, 4, 8, 15]","[16670, 3340, 24]",0.52,869973,12.0,4.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
12,"[26058, 42585, 43869]","['left', 'left', 'up']","[2477, 3648, 4627, 5255, 6245, 7425, 9285, 10517, 11430, 13750, 18528, 19765, 20336]","['2', '5', '4', '3', '8', '6', '11', '15', '14', '10', '9', '16', '17']",0.05,45.0,"[1, 4, 8, 14]","[26057, 1721, 23]",0.39,950292,1.0,5.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
13,"[36558, 42861, 44080]","['right', 'right', 'up']","[2736, 3560, 4838, 5848, 6813, 13221, 14172, 15784, 16332, 18646, 21461, 22639, 24016, 27579, 29302, 30207]","['2', '3', '8', '5', '4', '15', '14', '10', '6', '11', '7', '9', '17', '16', '13', '12']",0.05,45.0,"[1, 2, 6, 10]","[36558, 5750, 95]",0.86,1003698,8.0,6.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
14,"[39963, 40791, 42072]","['up', 'up', 'left']","[14566, 15213, 16143, 16913, 18027, 18626, 19280, 20296, 21353, 22144, 23400, 23841, 24376, 25566, 26391, 26869]","['2', '3', '4', '5', '8', '14', '15', '6', '10', '11', '16', '9', '17', '12', '7', '13']",0.05,45.0,"[1, 3, 7, 12]","[39963, 315, 118]",1.58,1051502,0.0,7.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
15,"[34326, 35297, 36467]","['up', 'up', 'left']","[7361, 7794, 8740, 9304, 10036, 10428, 10964, 11564, 12508, 14075, 14889, 15465, 16514, 16860, 17243, 19156]","['7', '3', '12', '13', '10', '6', '11', '2', '5', '9', '16', '17', '15', '8', '14', '4']",0.05,45.0,"[1, 3, 7, 12]","[34326, 431, 11]",2.89,1101475,3.0,8.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
16,"[32672, 33682, 34832]","['down', 'down', 'right']","[1784, 2519, 3005, 4064, 4477, 5079, 5560, 5997, 6486, 7632, 7966, 8399, 8887, 9642, 10648, 11431]","['3', '2', '6', '8', '4', '14', '12', '7', '13', '16', '9', '5', '17', '15', '11', '10']",0.05,45.0,"[1, 5, 9, 17]","[32672, 489, 5]",2.11,1157362,7.0,9.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
17,"[40491, 41273, 42447]","['left', 'left', 'down']","[2063, 3058, 4143, 4863, 6490, 7545, 8466, 9610, 10344, 11083, 12063, 12793, 14346, 17137, 17903, 18748]","['3', '2', '5', '4', '6', '8', '9', '7', '13', '12', '10', '11', '17', '16', '15', '14']",0.05,45.0,"[1, 4, 8, 15]","[40491, 206, 18]",2.8,1214302,14.0,10.0,graph,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
