,button_pressed,rt,stimulus,time_elapsed,trial_type,worker_id,assignment_id,pid
24,0.0,17041,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.88</p>",1456812,button-response,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
51,0.0,5439,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.84</p>",1671145,button-response,A142ZRU284W9O,3X31TUMD7XMNY33FWI8AL6DHI6U1LX,1
78,0.0,8225,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.88</p>",1771479,button-response,A14ADQ7RUN6TDY,3JV9LGBJWTES83WFRT95KALHF0HGOS,2
159,0.0,10654,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.02</p>",2686869,button-response,A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
190,0.0,5028,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.63</p>",1906293,button-response,A19LVWX8ZLO6CS,3WQ3B2KGE8GBLUH355JG73HC6CJB1N,4
217,0.0,20128,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.23</p>",2032784,button-response,A1B4WL7N3ACF2T,32SCWG5HIH48WAJAUGDYXJDIVRCP6I,5
240,0.0,8307,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.27</p>",1298016,button-response,A1C0H8G0YI15MN,3SNLUL3WO4N370UDY6IUW8IET3RLUG,6
277,0.0,4358,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.92</p>",1872051,button-response,A1DWDCD4CHM68O,32M8BPYGATMICHLCTYW00DPV3RIGIX,7
300,0.0,11570,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.79</p>",1464580,button-response,A1HBU82366WX00,3YW4XOSQKQLQHTQ95W0BCT90VXMU1J,8
339,0.0,6246,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.63</p>",2053972,button-response,A1KEA2Z47S3UPI,3AZHRG4CU4K6BAS8UT0ABF0QDS130M,9
376,0.0,3688,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.97</p>",1733717,button-response,A1KISJJJMHEFVP,3QUO65DNQUOBDLXABYYMOPM8O8WOU0,10
