,rt,time_elapsed,trial_type,view_history,worker_id,assignment_id,pid
0,177326,177328,instructions,"[{""page_index"":0,""viewing_time"":57165},{""page_index"":1,""viewing_time"":65484},{""page_index"":2,""viewing_time"":35712},{""page_index"":3,""viewing_time"":18963}]",A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
2,87112,352440,instructions,"[{""page_index"":0,""viewing_time"":8389},{""page_index"":1,""viewing_time"":14920},{""page_index"":2,""viewing_time"":49951},{""page_index"":3,""viewing_time"":13851}]",A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
25,19227,19230,instructions,"[{""page_index"":0,""viewing_time"":3276},{""page_index"":1,""viewing_time"":9244},{""page_index"":2,""viewing_time"":4080},{""page_index"":3,""viewing_time"":2625}]",A142ZRU284W9O,3X31TUMD7XMNY33FWI8AL6DHI6U1LX,1
27,34482,87200,instructions,"[{""page_index"":0,""viewing_time"":12525},{""page_index"":1,""viewing_time"":12072},{""page_index"":2,""viewing_time"":6954},{""page_index"":3,""viewing_time"":2930}]",A142ZRU284W9O,3X31TUMD7XMNY33FWI8AL6DHI6U1LX,1
29,20033,135156,instructions,"[{""page_index"":0,""viewing_time"":12228},{""page_index"":1,""viewing_time"":1710},{""page_index"":2,""viewing_time"":3525},{""page_index"":3,""viewing_time"":2569}]",A142ZRU284W9O,3X31TUMD7XMNY33FWI8AL6DHI6U1LX,1
52,156805,156806,instructions,"[{""page_index"":0,""viewing_time"":41724},{""page_index"":1,""viewing_time"":48871},{""page_index"":0,""viewing_time"":2883},{""page_index"":1,""viewing_time"":23202},{""page_index"":2,""viewing_time"":28568},{""page_index"":1,""viewing_time"":9238},{""page_index"":2,""viewing_time"":2318}]",A14ADQ7RUN6TDY,3JV9LGBJWTES83WFRT95KALHF0HGOS,2
54,90397,319485,instructions,"[{""page_index"":0,""viewing_time"":46690},{""page_index"":1,""viewing_time"":23559},{""page_index"":2,""viewing_time"":20147}]",A14ADQ7RUN6TDY,3JV9LGBJWTES83WFRT95KALHF0HGOS,2
56,38847,448150,instructions,"[{""page_index"":0,""viewing_time"":23573},{""page_index"":1,""viewing_time"":8072},{""page_index"":2,""viewing_time"":7200}]",A14ADQ7RUN6TDY,3JV9LGBJWTES83WFRT95KALHF0HGOS,2
79,120914,120915,instructions,"[{""page_index"":0,""viewing_time"":53125},{""page_index"":1,""viewing_time"":42236},{""page_index"":2,""viewing_time"":25552}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
81,19636,184027,instructions,"[{""page_index"":0,""viewing_time"":4876},{""page_index"":1,""viewing_time"":12792},{""page_index"":2,""viewing_time"":1968}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
83,25332,260666,instructions,"[{""page_index"":0,""viewing_time"":14228},{""page_index"":1,""viewing_time"":7008},{""page_index"":2,""viewing_time"":4096}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
85,2950,289547,instructions,"[{""page_index"":0,""viewing_time"":1790},{""page_index"":1,""viewing_time"":648},{""page_index"":2,""viewing_time"":512}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
87,2731,303035,instructions,"[{""page_index"":0,""viewing_time"":1571},{""page_index"":1,""viewing_time"":680},{""page_index"":2,""viewing_time"":480}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
89,3298,317243,instructions,"[{""page_index"":0,""viewing_time"":1714},{""page_index"":1,""viewing_time"":1096},{""page_index"":2,""viewing_time"":488}]",A19LTHK3TA57SF,37ZHEEHM6WMKTLSSFSLJQUADL6337I,3
