,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
10,"[24129, 30099, 30994]","[u'left', u'left', u'up']","[4055, 5465, 6421, 7804, 9242, 10239, 11321, 13524, 14105, 15109, 16095, 17820, 18622, 19295]","[u'4', u'8', u'14', u'15', u'17', u'9', u'5', u'6', u'2', u'10', u'11', u'13', u'12', u'7']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[24128, 2051, 1]",32.6,752716,5.0,1.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
11,"[18978, 23344, 24207]","[u'right', u'right', u'down']","[450, 1776, 3093, 3884, 4681, 5639, 6740, 7694, 10476, 11497, 14670, 16107, 17107]","[u'12', u'13', u'10', u'11', u'17', u'16', u'14', u'15', u'7', u'6', u'9', u'3', u'2']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[18978, 517, 1]",30.7,812456,2.0,2.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
12,"[20630, 25270, 26151]","[u'right', u'right', u'up']","[2897, 4961, 5730, 6629, 8505, 9412, 11727, 13129, 13997, 15435, 16146]","[u'2', u'3', u'4', u'5', u'9', u'17', u'7', u'6', u'8', u'11', u'10']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[20630, 584, 2]",32.9,863799,3.0,3.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
13,"[15907, 20439, 21376]","[u'left', u'left', u'up']","[575, 1143, 2109, 2681, 3543, 4488, 5532, 6222, 7588, 8798, 10904]","[u'3', u'7', u'5', u'9', u'4', u'8', u'2', u'6', u'13', u'12', u'14']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[15906, 477, 1]",16.9,914771,7.0,4.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
14,"[20380, 24878, 25790]","[u'up', u'up', u'left']","[884, 1467, 2992, 3594, 4944, 5615, 7055, 7788, 8875, 10352, 12049, 17355, 18916]","[u'3', u'7', u'5', u'9', u'4', u'8', u'2', u'6', u'13', u'14', u'12', u'10', u'11']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[20380, 529, 28]",35.7,966877,6.0,5.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
15,"[16732, 20961, 21805]","[u'down', u'down', u'right']","[470, 919, 1859, 3096, 3707, 4420, 5296, 5750, 6496, 7881, 8958, 9732, 11607, 12952, 13921, 14969]","[u'3', u'7', u'4', u'8', u'2', u'6', u'5', u'9', u'16', u'12', u'14', u'15', u'17', u'11', u'10', u'13']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 5, 9, 17]","[16732, 497, 55]",40.4,1017895,4.0,6.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
16,"[18851, 23402, 24391]","[u'left', u'left', u'up']","[1097, 1768, 2996, 3459, 4287, 4910, 5836, 6342, 9761, 10668, 11826, 13098, 14443, 15249, 16719]","[u'5', u'9', u'7', u'3', u'2', u'6', u'4', u'8', u'16', u'17', u'14', u'15', u'12', u'13', u'10']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[18851, 676, 97]",38.5,1068583,0.0,7.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
17,"[18765, 23191, 24043]","[u'down', u'down', u'left']","[1285, 1988, 2830, 3296, 4668, 5306, 5968, 6664, 9272, 10096, 11617, 13433, 14255, 15988, 16877]","[u'3', u'7', u'5', u'9', u'2', u'6', u'4', u'8', u'12', u'13', u'14', u'10', u'11', u'17', u'16']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 5, 9, 16]","[18765, 568, 1]",44.5,1131297,1.0,8.0,graph,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
33,"[8666, 28334, 29872]","[u'up', u'up', u'left']","[18422, 19652, 20475]","[u'7', u'13', u'12']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[8664, 14979, 249]",20.7,911461,1.0,1.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
34,"[18786, 24240, 25689]","[u'right', u'right', u'up']","[5302, 6791, 9590, 10989, 11949, 14205, 15069, 16037]","[u'17', u'10', u'15', u'12', u'13', u'4', u'2', u'6']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[18786, 762, 2]",33.2,976319,3.0,2.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
35,"[13431, 18383, 19745]","[u'left', u'left', u'down']","[3436, 5237, 5829, 7285, 7869, 8758, 9377]","[u'5', u'9', u'17', u'8', u'4', u'14', u'15']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 4, 8, 15]","[13430, 524, 4]",27.3,1028447,6.0,3.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
36,"[11947, 16547, 17860]","[u'left', u'left', u'up']","[728, 1824, 3248, 4312, 5321, 6049, 6913, 7633, 8906, 9920, 10593]","[u'3', u'7', u'9', u'8', u'2', u'6', u'11', u'10', u'4', u'15', u'14']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[11947, 405, 3]",32.9,1091527,5.0,4.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
37,"[10631, 15719, 17132]","[u'right', u'right', u'down']","[1604, 2724, 3380, 4348, 5444, 6332, 6996, 7915, 8318, 8788]","[u'3', u'5', u'9', u'4', u'8', u'14', u'15', u'2', u'6', u'11']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[10631, 593, 2]",31.0,1145452,2.0,5.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
38,"[21531, 27713, 29326]","[u'down', u'down', u'right']","[15654, 18648, 19353, 19866]","[u'5', u'16', u'17', u'9']",3.0,"[3.18, 0, 0]",0.1,45.0,"[1, 5, 9, 17]","[21531, 1693, 12]",41.6,1202499,4.0,6.0,graph,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
