,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
12,"[23782, 29098, 31124]","[u'left', u'left', u'up']","[7124, 9167, 10832, 11903, 13688, 14593, 15832, 17137, 18201]","[u'2', u'3', u'4', u'5', u'9', u'17', u'16', u'8', u'14']",2.0,"[2, 0, 2]",0.1,45.0,"[1, 4, 8, 14]","[23781, 2142, 899]",39.1,600742,0.0,1.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
13,"[24109, 25162, 26550]","[u'left', u'left', u'up']","[1877, 3181, 4396, 5605, 7837, 9318, 11661, 13317, 14701, 16197, 18814, 19830, 21038]","[u'4', u'3', u'2', u'5', u'7', u'12', u'8', u'14', u'15', u'9', u'6', u'10', u'11']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[24109, 3, 387]",32.7,685762,5.0,2.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
14,"[22342, 23236, 24482]","[u'down', u'down', u'right']","[5520, 6679, 7687, 9103, 11151, 12191, 13263, 14760, 16191, 17119, 18519]","[u'2', u'5', u'4', u'3', u'8', u'14', u'15', u'9', u'16', u'17', u'7']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 5, 9, 17]","[22342, 1, 226]",40.9,738325,4.0,3.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
15,"[16147, 17023, 18189]","[u'right', u'right', u'up']","[1047, 2714, 3698, 4818, 6706, 8058, 9442, 10754, 11738, 12977, 14395]","[u'2', u'3', u'4', u'5', u'9', u'6', u'8', u'14', u'15', u'10', u'11']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[16147, 2, 177]",32.9,786965,2.0,4.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
16,"[19770, 20837, 21995]","[u'right', u'right', u'up']","[1217, 2921, 3898, 5146, 6770, 7473, 8586, 10346, 11266, 12106, 13841, 16802, 17722]","[u'3', u'2', u'5', u'4', u'9', u'17', u'16', u'6', u'11', u'10', u'7', u'8', u'14']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[19770, 106, 182]",32.7,835123,3.0,5.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
17,"[17756, 18543, 19998]","[u'down', u'down', u'left']","[920, 1850, 2850, 3834, 5266, 6138, 7050, 8298, 10554, 12681, 14136, 14922, 15793]","[u'2', u'3', u'4', u'5', u'7', u'13', u'12', u'9', u'16', u'17', u'8', u'14', u'15']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 5, 9, 16]","[17756, 20, 532]",44.7,884636,1.0,6.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
18,"[21105, 29107, 32872]","[u'right', u'right', u'up']","[1431, 2735, 3686, 4783, 6590, 8623, 9581, 11351, 12414, 13374, 14888, 15862, 16902]","[u'3', u'2', u'5', u'4', u'6', u'10', u'11', u'7', u'13', u'12', u'8', u'14', u'15']",2.0,"[6, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[21105, 1308, 2795]",20.7,939121,7.0,7.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
19,"[24178, 24980, 25934]","[u'up', u'up', u'left']","[3399, 4239, 4975, 6072, 7352, 8144, 8992, 10687, 13431, 14392, 15487, 16894, 18062, 19432, 20094]","[u'3', u'4', u'5', u'2', u'7', u'12', u'13', u'8', u'14', u'15', u'9', u'16', u'17', u'6', u'10']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[24178, 2, 40]",35.5,986775,6.0,8.0,graph,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
31,"[29890, 38887, 40228]","[u'right', u'right', u'up']","[1748, 6133, 6844, 7867, 8998, 9484, 10395, 14413, 23417, 29369]","[u'2', u'3', u'4', u'5', u'17', u'9', u'16', u'6', u'10', u'11']",1.0,"[7, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[29890, 1236, 471]",33.0,389086,3.0,1.0,graph,A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,1
32,"[26773, 27653, 28392]","[u'right', u'right', u'up']","[3528, 4378, 5330, 5860, 6856, 7974, 9403, 11026, 12356, 12904, 13878, 15003, 17996, 20334, 21105, 21697]","[u'2', u'3', u'4', u'5', u'6', u'10', u'11', u'7', u'12', u'13', u'8', u'14', u'15', u'9', u'16', u'17']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[26773, 355, 21]",20.4,447435,7.0,2.0,graph,A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,1
