,creationDate,worker_id,assignment_id,pid
0,Wed Apr  5 18:48:11 2017,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,0
1,Wed Apr  5 18:48:11 2017,A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,1
2,Wed Apr  5 18:48:11 2017,A16ANYLVNPKCVG,3URFVVM165INCPBHD7934NTDA2NZUL,2
3,Wed Apr  5 18:48:11 2017,A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,3
4,Wed Apr  5 18:48:11 2017,A19IWME4DCIU1H,3PB5A5BD0V6LNX4GA7S39OZNR1W7G2,4
5,Wed Apr  5 18:48:11 2017,A1EK8YNHZHTW1J,3GFK2QRXX9H2XFGX1JHOX77FUQKW5I,5
6,Wed Apr  5 18:48:11 2017,A1F1OZ54G177D8,3FPRZHYEPY7M4BTOXQOZW8QH9EXV39,6
7,Wed Apr  5 18:48:11 2017,A1F9KLZGHE9DTA,39JEC7537U1AHBP7QJZ0PBUBFRAVC7,7
8,Wed Apr  5 18:48:11 2017,A1FFMPJ0W6FHQ8,3MX2NQ3YC9UHMFLNBODAZQLM3LWX54,8
9,Wed Apr  5 18:48:11 2017,A1FQGVP8SX5WE2,3VELCLL3GKJ1YBTJA75CQT8YN0WF1E,9
10,Wed Apr  5 18:48:11 2017,A1GRPIBHW72HDU,3X65QVEQI0N7L6DDCFXU22W9OT9CL6,10
11,Wed Apr  5 18:48:11 2017,A1KGCOR8OXYR72,3AZHRG4CU4K6BAS8UT0ABF0RFIL03N,11
12,Wed Apr  5 18:48:11 2017,A1L8EDNM7HZZAX,3EICBYG644W1QGPD9ULHMNJHK44CJ4,12
13,Wed Apr  5 18:48:11 2017,A1LMXY8R59ZUHU,3JC6VJ2SABJ5Q2DU0ELWFIAO20O5A9,13
14,Wed Apr  5 18:48:11 2017,A1LRDHZZUVF9AZ,3PW9OPU9PQKHXHH7MCQ56AE9EWR21H,14
15,Wed Apr  5 18:48:11 2017,A1OQ3KL56KMQSU,35DR22AR5DKE80YJX5PHKTN2PP5X3E,15
16,Wed Apr  5 18:48:11 2017,A1P6OXEJ86HQRM,3ON104KXQKWK1WCXNEYESF11UNW4WE,16
17,Wed Apr  5 18:48:11 2017,A1SLJKNSNHOJRN,3LOZAJ85YDDPNI20T5BC1JIAJB5X23,17
18,Wed Apr  5 18:48:11 2017,A1TL6GOSY0W1YC,3DH6GAKTYYP4TYVMN86S78ZQ6QYZYJ,18
19,Wed Apr  5 18:48:11 2017,A1U8RH67FLZW87,30BUDKLTXDV8GFU6GJNIB10FNFM5E4,19
20,Wed Apr  5 18:48:11 2017,A1V1JNPU0KOA3X,3DEL4X4EL6LFO3V7MQI7ANJFYQ0XYK,20
21,Wed Apr  5 18:48:11 2017,A1VW8Y7XCV3DRW,3LEIZ60CDJZPSXNEFWEC8R6ZXHE9Z5,21
22,Wed Apr  5 18:48:11 2017,A1ZAFHQLJJFQ15,3TEM0PF1Q5X4T2U5NI6MOOM36VA0DL,22
23,Wed Apr  5 18:48:11 2017,A1ZN6V0PU8VVAH,3VD82FOHKQOFRRGAP7DMUJ03JYECON,23
