,button_pressed,rt,stimulus,time_elapsed,trial_type,worker_id,assignment_id,pid
12,0.0,3621,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.65</p>",758783,button-response,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
23,0.0,9586,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",607061,button-response,A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1
38,0.0,8704,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.46</p>",769832,button-response,A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
53,0.0,37984,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.94</p>",1163474,button-response,A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
64,0.0,3631,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.68</p>",748044,button-response,A1MV2B8I02QVOE,3LPW2N6LKT2P5BRS6J2NFJMIA7KU5N,4
79,0.0,1827,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.35</p>",1563652,button-response,A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
96,0.0,13434,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.90</p>",1172167,button-response,A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
111,0.0,5493,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.65</p>",746433,button-response,A1RPQXFV02P72A,3UXUOQ9OKEXKD6RDO70TD2OKUBPA7A,7
126,0.0,1684,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.42</p>",1024105,button-response,A1SL65Z68BK1UT,351SEKWQS0H1WG1CCNTKMLTGA3GMDY,8
139,0.0,4672,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.42</p>",1777815,button-response,A1TNOYRQG5VT7D,3O7L7BFSHEPKS3PLN36C0A4KT6YEI4,9
162,0.0,12342,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",1232450,button-response,A23RGG9LXG380R,3R3YRB5GRF3MBH391FT4NU242MMUAW,10
181,0.0,7362,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",1419595,button-response,A29ZV4XJB7R1O,3QL2OFSM96IX96GYOSD9FU0YUTFCNP,11
204,0.0,10874,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.05</p>",1959036,button-response,A2ARHK50FQ79YC,3300DTYQT2HX91D40BBL9CV6KGFEQ7,12
217,0.0,7055,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.50</p>",691223,button-response,A2BPBFN87X32NO,3E4GGUZ1T8RJ3I3TUMWNBPA8O7X2K1,13
