,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid,feedback
4,"[7031, 19181, 22357]","[u'down', u'down', u'right']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 5, 9, 17]","[7031, 3245, 2436]",10.0,343524,0.0,1.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
5,"[7282, 24345, 27786]","[u'down', u'down', u'left']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 5, 9, 16]","[7282, 8161, 2634]",14.0,402477,4.0,2.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
6,"[1852, 11501, 15371]","[u'up', u'up', u'right']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 3, 7, 13]","[1851, 605, 3093]",13.0,461740,2.0,3.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
7,"[2857, 13026, 15146]","[u'right', u'right', u'up']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 2, 6, 10]","[2857, 1165, 1327]",8.0,519419,1.0,4.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
8,"[17215, 27920, 29479]","[u'right', u'right', u'up']","[2822, 5309, 6163, 6991, 11051, 14558]","[u'4', u'5', u'2', u'3', u'10', u'11']",0.0,"[8, 0, 1]",1.6,45.0,"[1, 2, 6, 10]","[17215, 497, 845]",12.4,577619,7.0,5.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
9,"[12655, 22870, 24670]","[u'left', u'left', u'down']","[5708, 7556, 9365, 10350]","[u'5', u'4', u'15', u'14']",0.0,"[8, 0, 1]",1.6,45.0,"[1, 4, 8, 15]","[12654, 543, 1044]",21.6,635395,6.0,6.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
10,"[20888, 31432, 33048]","[u'right', u'right', u'up']","[5583, 10566, 11671, 17313, 18777]","[u'3', u'12', u'13', u'2', u'10']",0.0,"[8, 0, 1]",1.6,45.0,"[1, 2, 6, 10]","[20888, 731, 807]",26.0,694860,3.0,7.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
11,"[16234, 26978, 29082]","[u'down', u'down', u'left']","[3367, 6983, 8066, 9439, 10950, 11849]","[u'2', u'10', u'11', u'5', u'17', u'16']",0.0,"[8, 0, 1]",1.6,45.0,"[1, 5, 9, 16]","[16234, 706, 1327]",6.4,754155,5.0,8.0,graph,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0,True
15,"[9055, 24390, 30885]","[u'up', u'up', u'left']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 3, 7, 12]","[9055, 6142, 5575]",23.0,176111,4.0,1.0,graph,A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1,True
16,"[3804, 16156, 22436]","[u'down', u'down', u'right']",[],[],0.0,"[8, 0, 1]",1.6,45.0,"[1, 5, 9, 17]","[3803, 3168, 5337]",10.0,236663,1.0,2.0,graph,A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1,True
