,actionTimes,actions,clickTimes,clicks,condition,delays,feedback,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
5,"[15134, 44578, 52108]","[u'right', u'right', u'up']","[4636, 8097, 10170, 10913, 49342, 50171]","[u'3', u'2', u'5', u'4', u'10', u'11']",1.0,"[23, 0, 0]",True,0.1,45.0,"[1, 2, 6, 10]","[15133, 4918, 6202]",7.4,697569,7.0,1.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
6,"[18963, 31003, 38450]","[u'left', u'left', u'down']","[2574, 5760, 9127, 12799, 13634, 16045, 34734, 35884]","[u'3', u'5', u'7', u'2', u'4', u'8', u'15', u'14']",1.0,"[8, 0, 0]",True,0.1,45.0,"[1, 4, 8, 15]","[18962, 2464, 6009]",27.2,757354,9.0,2.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
7,"[35701, 36588, 37546]","[u'down', u'down', u'right']","[1870, 2894, 3629, 4249, 8021, 9172, 11463, 12131, 12953, 13422, 13922, 14579, 15371, 15901, 16513, 17170]","[u'3', u'2', u'5', u'4', u'9', u'7', u'12', u'13', u'10', u'6', u'11', u'17', u'16', u'15', u'8', u'14']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 5, 9, 17]","[35700, 365, 2]",40.4,806485,4.0,3.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
8,"[39515, 40375, 41357]","[u'right', u'right', u'up']","[1036, 1842, 2782, 3611, 5216, 6351, 7493, 8433, 10218, 10890, 11766, 12714, 13716, 14600, 15327, 16119]","[u'3', u'2', u'5', u'4', u'8', u'6', u'7', u'9', u'12', u'13', u'14', u'15', u'16', u'17', u'11', u'10']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 2, 6, 10]","[39514, 344, 25]",32.4,855562,3.0,4.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
9,"[20826, 21597, 22548]","[u'right', u'right', u'down']","[1335, 2132, 2836, 3563, 6130, 6804, 7399, 8260, 8792, 9348, 9973, 10460, 10959, 11461, 12253, 12785]","[u'3', u'2', u'5', u'4', u'8', u'15', u'14', u'12', u'7', u'13', u'10', u'6', u'11', u'17', u'9', u'16']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 2, 6, 11]","[20825, 256, 2]",36.4,903301,11.0,5.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
10,"[30940, 32064, 32993]","[u'right', u'right', u'up']","[2729, 3872, 4647, 5257, 6581, 7111, 7636, 9428, 10030, 10572, 12764, 13398, 14595, 16583, 17389, 18030]","[u'3', u'2', u'5', u'4', u'16', u'9', u'17', u'15', u'8', u'14', u'6', u'10', u'11', u'7', u'13', u'12']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 2, 6, 10]","[30939, 608, 2]",32.4,954809,2.0,6.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
11,"[32737, 33558, 34843]","[u'up', u'up', u'left']","[5342, 5929, 6821, 7393, 8809, 9473, 10281, 10868, 11360, 11869, 12809, 13302, 13787, 14576, 15204, 15775]","[u'2', u'3', u'4', u'5', u'6', u'10', u'11', u'17', u'9', u'16', u'15', u'8', u'14', u'12', u'7', u'13']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 3, 7, 12]","[32736, 304, 336]",39.4,1004927,8.0,7.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
12,"[26902, 27575, 28528]","[u'right', u'right', u'down']","[2862, 3840, 4386, 5256, 7659, 8372, 8944, 10234, 10821, 11346, 12472, 12989, 13640, 14344, 14844, 15605]","[u'3', u'2', u'5', u'4', u'14', u'8', u'15', u'16', u'9', u'17', u'11', u'6', u'10', u'13', u'7', u'12']",1.0,"[0, 0, 0]",True,0.1,45.0,"[1, 2, 6, 11]","[26902, 159, 2]",36.4,1053057,6.0,8.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
15,"[21584, 22390, 23353]","[u'left', u'left', u'up']","[1510, 2447, 3144, 4069, 5547, 6441, 7457, 8663, 9362, 10034, 12005, 12843, 13710, 14698, 15229, 15754]","[u'3', u'2', u'5', u'4', u'12', u'7', u'13', u'8', u'14', u'15', u'16', u'9', u'17', u'11', u'6', u'10']",1.0,"[0, 0, 0]",False,0.1,45.0,"[1, 4, 8, 14]","[21583, 283, 2]",32.4,1125461,5.0,1.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
16,"[23073, 25729, 26913]","[u'down', u'down', u'left']","[952, 1664, 2352, 3238, 5909, 6462, 7009, 7949, 8490, 8966, 10322, 11221, 12174, 14273, 14774, 15377]","[u'3', u'4', u'5', u'2', u'14', u'8', u'15', u'16', u'9', u'17', u'11', u'6', u'10', u'7', u'13', u'12']",1.0,"[0, 0, 0]",False,0.1,45.0,"[1, 5, 9, 16]","[23072, 2134, 238]",44.4,1173277,1.0,2.0,graph,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
