,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
73,615848,2014809,delay,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
94,602051,1344679,delay,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
142,613876,1587131,delay,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
307,735457,1835015,delay,A19WXS1CLVLEEX,3WJ1OXY92AGODKWWYCSZR2KF5ERA8V,9
388,616332,1359154,delay,A1D36KAPWAUPTJ,3TVSS0C0E104IHRN2FZM0NDTBBIWTM,13
508,607149,3056416,delay,A1FYTTGF0QACU9,3OCHAWUVGOKK4Y6QIBHG1F441ZUKXS,16
527,610185,1242914,delay,A1GN9TMCN82WPL,3R2UR8A0IAG3UPR5G3998WLDL45OXH,17
646,609343,2834668,delay,A1K75ALN5NQIJM,3VELCLL3GKJ1YBTJA75CQT8YOOZ1FG,20
668,601593,1689196,delay,A1L6X6M0Q4F5PU,34MAJL3QP4NNAYA9DUNCNIQ4XJ634Q,21
694,603821,1510173,delay,A1LK6QRCHJQGAE,3VAR3R6G1P1DFOQX8VXHSX4KUWY8OX,22
712,628528,1253318,delay,A1M682B2WUSYJP,3M23Y66PO27592Z2MXHSSOIULP9S6O,23
774,617335,2010609,delay,A1P0NNR8HOQ95R,3TOK3KHVJTI9FALEYQ5BEX8PJCT7OA,24
816,607373,2036898,delay,A1RAWGJXKQOCMS,3X87C8JFV6BYJKIM16VQYTZLLRNSQP,26
852,772881,7220673,delay,A1U7O93JY3WFMU,3DI28L7YXAE9SXTNFWL68BNYCNK1EY,27
893,925759,2155670,delay,A1UO83ZUFK5D2K,32KTQ2V7RDFPTQOV07OI0PAQJ10M9I,29
910,815829,1421406,delay,A1VPE05UDNFKGV,3TAYZSBPLL8HR1G1ZV5P2B1I5L92SL,30
980,601539,1622527,delay,A20IXK8ZV8N72H,32KTQ2V7RDFPTQOV07OI0PAQJ10M9I,33
1043,630866,2674463,delay,A226EHLT7IIULM,31EUONYN2V3BQ0MAGO8RKBOS5UZVOP,34
1064,706225,1538021,delay,A22QD6M0A2C77C,36WLNQG78ZAA5VBFHTEVEN07YZBBER,35
1140,605180,2024537,delay,A23KNYW5XJ9FKD,338JKRMM26ZH6VXP1GM54FDE8YKAHF,37
1162,605040,1655993,delay,A256FHXGSY0E5D,39L1G8WVWQR6IZDQQC4APKJ1LYV138,38
