,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid,feedback
31,"[14182, 25639, 27479]","[u'right', u'right', u'down']","[3875, 6650, 8077, 10872]","[u'2', u'6', u'10', u'11']",2.0,"[8, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[14180, 1545, 3]",37.6,1257942,6.0,1.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
32,"[24203, 25339, 26734]","[u'right', u'right', u'down']","[1841, 3180, 4599, 5758, 7893, 8965, 9848, 11296, 13272, 14967, 15936, 18948, 19824, 20932, 22148]","[u'5', u'9', u'16', u'17', u'3', u'7', u'13', u'12', u'4', u'8', u'14', u'2', u'6', u'10', u'11']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[24203, 33, 2]",36.5,1310042,11.0,2.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
33,"[18606, 20100, 24071]","[u'left', u'left', u'down']","[1305, 2579, 3767, 5113, 5997, 7126, 8639, 9703, 11802, 12947, 13807, 15096, 21923]","[u'2', u'3', u'4', u'7', u'13', u'12', u'8', u'14', u'5', u'9', u'16', u'17', u'15']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 4, 8, 15]","[18606, 3, 2408]",38.7,1358710,0.0,3.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
34,"[25688, 26697, 29577]","[u'right', u'right', u'up']","[1544, 2615, 3593, 5108, 6409, 7581, 8827, 9840, 11382, 12483, 13402, 15024, 16529, 17637, 18730, 22191]","[u'2', u'6', u'10', u'11', u'4', u'3', u'8', u'14', u'7', u'13', u'12', u'5', u'9', u'17', u'16', u'15']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[25688, 486, 1638]",20.4,1406736,10.0,4.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
35,"[21409, 22645, 24003]","[u'left', u'left', u'up']","[1658, 2569, 3858, 4886, 6682, 7536, 8376, 9802, 11307, 12299, 14255, 15542, 16570, 17518, 18750]","[u'2', u'6', u'10', u'11', u'3', u'7', u'13', u'4', u'8', u'14', u'15', u'5', u'9', u'16', u'17']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[21408, 160, 5]",32.5,1458085,5.0,5.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
36,"[17194, 18540, 20069]","[u'right', u'right', u'up']","[1581, 2760, 3709, 4773, 7234, 8944, 10016, 11543, 12405, 13345, 14591]","[u'4', u'8', u'14', u'15', u'3', u'5', u'9', u'2', u'6', u'10', u'11']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[17192, 3, 3]",32.9,1507448,2.0,6.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
37,"[18850, 33980, 35451]","[u'left', u'left', u'down']","[1579, 2701, 3629, 6034, 8118, 9191, 10305, 11832]","[u'2', u'6', u'10', u'11', u'4', u'8', u'14', u'15']",2.0,"[12, 0, 0]",0.1,45.0,"[1, 4, 8, 15]","[18850, 1889, 3]",31.2,1568580,8.0,7.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
38,"[18391, 19551, 20924]","[u'down', u'down', u'right']","[2111, 3297, 4498, 5345, 6786, 8358, 9182, 10131, 11260, 12447, 13534, 14576, 15966]","[u'2', u'3', u'7', u'13', u'12', u'4', u'8', u'14', u'15', u'5', u'9', u'17', u'16']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 5, 9, 17]","[18390, 247, 2]",40.7,1616952,4.0,8.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,True
41,"[14635, 17512, 19006]","[u'up', u'up', u'left']","[1923, 3052, 4210, 5094, 6063, 7316, 8243, 9418, 10523, 11667]","[u'2', u'3', u'7', u'13', u'12', u'4', u'8', u'14', u'15', u'5']",2.0,"[-1, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[14635, 1554, 3]",36.0,1674553,9.0,1.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,False
42,"[25715, 26696, 28226]","[u'right', u'right', u'up']","[1226, 2384, 3484, 4701, 6178, 7090, 8568, 10139, 12020, 12809, 14511, 16429, 17964, 19478, 20404, 21352]","[u'2', u'3', u'4', u'5', u'9', u'17', u'16', u'11', u'10', u'6', u'7', u'13', u'12', u'14', u'8', u'15']",2.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[25715, 463, 306]",32.4,1724676,3.0,2.0,graph,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0,False
