,actionTimes,actions,clickTimes,clicks,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
6,"[31275, 32492, 33134]","['down', 'down', 'right']","[2077, 2963, 3977, 5051, 6144, 6825, 8066, 8755, 9741, 10835, 11987, 12932, 13897, 14952, 15949, 17930]","['4', '5', '2', '3', '6', '11', '9', '16', '15', '14', '12', '13', '10', '7', '8', '17']",0.05,45.0,"[1, 5, 9, 17]","[31275, 704, 130]",1.35,288187,12.0,1.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
7,"[14963, 15603, 16297]","['right', 'right', 'down']","[1210, 1979, 2855, 3612, 4412, 5066, 6026, 7031, 7693, 8254, 9131, 9948, 11013, 11841]","['4', '3', '5', '2', '6', '11', '10', '13', '7', '12', '14', '15', '16', '17']",0.05,45.0,"[1, 2, 6, 11]","[14963, 136, 181]",4.63,334910,16.0,2.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
8,"[20170, 20713, 21619]","['up', 'up', 'left']","[765, 1908, 2559, 3327, 4146, 4845, 6018, 6796, 7554, 8314, 9438, 10008, 10601, 12049, 13211, 14039]","['4', '8', '15', '14', '3', '2', '5', '6', '11', '10', '13', '7', '12', '16', '9', '17']",0.05,45.0,"[1, 3, 7, 12]","[20170, 27, 400]",4.07,384148,0.0,3.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
9,"[13565, 14836, 15485]","['up', 'up', 'left']","[707, 1425, 2135, 3092, 3958, 4541, 5190, 5909, 6480, 7122, 8078, 8858, 9508, 10446, 11392, 12130]","['4', '5', '2', '3', '12', '7', '13', '10', '6', '11', '17', '9', '16', '15', '8', '14']",0.05,45.0,"[1, 3, 7, 12]","[13565, 764, 145]",3.21,431004,3.0,4.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
10,"[22865, 23436, 24349]","['right', 'right', 'down']","[772, 1490, 2280, 3365, 4429, 5041, 5663, 6441, 7063, 7703, 8669, 9231, 9872, 10947, 11588, 12219]","['4', '5', '2', '3', '12', '7', '13', '10', '6', '11', '17', '9', '16', '15', '8', '14']",0.05,45.0,"[1, 2, 6, 11]","[22865, 56, 402]",4.48,477655,6.0,5.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
11,"[12377, 12907, 13953]","['up', 'up', 'right']","[1531, 1885, 1995, 2131, 2464, 3044, 3397, 3646, 3874, 4427, 4626, 4892, 4983, 5148, 5765, 6032, 6250, 6349, 6525, 6589]","['15', '8', '8', '14', '4', '12', '3', '7', '13', '10', '6', '11', '11', '2', '17', '9', '5', '5', '16', '16']",0.05,45.0,"[1, 3, 7, 13]","[12377, 17, 530]",2.74,524573,10.0,6.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
12,"[9102, 10023, 10665]","['down', 'down', 'right']","[635, 821, 1521, 1622, 2312, 2384, 2977, 3197, 3414, 3505, 3738, 4346, 4651, 4899, 5125, 5207, 5973, 6221, 6471, 6721]","['17', '9', '5', '5', '16', '16', '15', '8', '14', '14', '4', '3', '12', '7', '13', '13', '10', '6', '2', '11']",0.05,45.0,"[1, 5, 9, 17]","[9102, 418, 112]",4.51,572818,19.0,7.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
13,"[14068, 15067, 15890]","['up', 'up', 'left']","[1493, 1857, 1940, 2057, 2321, 2393, 2988, 3208, 3457, 3564, 3805, 4253, 4327, 4586, 4899, 5129, 5705, 5709, 5961, 6228, 6477]","['17', '5', '5', '9', '16', '16', '15', '8', '4', '4', '14', '12', '12', '3', '7', '13', '13', '10', '6', '2', '11']",0.05,45.0,"[1, 3, 7, 12]","[14068, 488, 312]",3.9,621983,7.0,8.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
14,"[16210, 16924, 17805]","['up', 'up', 'right']","[2701, 2848, 3094, 3210, 3441, 3936, 4355, 4982, 5298, 5899, 6175, 6452, 7557, 8233, 8606, 8807, 9044, 9128]","['10', '6', '2', '2', '11', '17', '9', '5', '16', '15', '8', '4', '14', '3', '12', '7', '13', '13']",0.05,45.0,"[1, 3, 7, 13]","[16210, 200, 366]",3.12,668541,9.0,9.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
15,"[12548, 13075, 15021]","['left', 'left', 'down']","[862, 1207, 1298, 1567, 2311, 2904, 3176, 3470, 3851, 4698, 5088, 5352, 5600, 5700, 6285, 6940, 7264, 7524]","['17', '9', '9', '5', '16', '15', '8', '4', '14', '3', '12', '7', '13', '13', '10', '2', '6', '11']",0.05,45.0,"[1, 4, 8, 15]","[12548, 9, 1421]",2.86,718071,11.0,10.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
16,"[10361, 11780, 12682]","['right', 'right', 'up']","[623, 851, 1124, 1428, 1972, 2225, 2434, 2525, 2711, 2775, 3378, 3615, 3845, 3944, 4120, 4882, 5197, 5445, 5653, 5735]","['10', '6', '2', '11', '17', '9', '5', '5', '16', '16', '15', '8', '4', '4', '14', '3', '12', '7', '13', '13']",0.05,45.0,"[1, 2, 6, 10]","[10361, 902, 387]",1.62,764904,8.0,11.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
17,"[8394, 8936, 10031]","['left', 'left', 'down']","[568, 754, 992, 1221, 1321, 1905, 2163, 2390, 2490, 2675, 3409, 3656, 3876, 3967, 4218, 5589, 5864, 6073, 6282, 6363]","['10', '2', '6', '11', '11', '17', '9', '5', '5', '16', '15', '8', '4', '4', '14', '3', '12', '7', '13', '13']",0.05,45.0,"[1, 4, 8, 15]","[8394, 27, 588]",6.01,811505,2.0,12.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
18,"[12600, 13137, 14136]","['up', 'up', 'left']","[530, 740, 949, 1178, 1269, 1654, 1770, 1917, 2108, 2217, 2402, 3069, 3298, 3519, 3660, 3828, 4825, 5368, 6112, 6595, 6642]","['10', '2', '6', '11', '11', '17', '17', '9', '5', '5', '16', '15', '8', '4', '4', '14', '3', '7', '13', '12', '12']",0.05,45.0,"[1, 3, 7, 12]","[12600, 34, 484]",3.97,859222,5.0,13.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
19,"[11789, 12800, 13483]","['right', 'right', 'up']","[845, 1163, 1401, 1620, 2457, 2753, 2953, 3209, 3302, 4178, 4449, 4744, 5087, 5706, 6115, 6353, 6570, 6682]","['10', '2', '6', '11', '17', '9', '5', '16', '16', '15', '8', '4', '14', '3', '12', '7', '13', '13']",0.05,45.0,"[1, 2, 6, 10]","[11788, 496, 179]",3.38,906019,18.0,14.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
20,"[10723, 12911, 13883]","['right', 'right', 'down']","[593, 808, 1027, 1244, 1343, 2147, 2506, 2724, 3050, 3831, 4078, 4314, 4399, 4735, 4833, 5475, 5996, 6240, 6449]","['10', '2', '6', '11', '11', '17', '9', '5', '16', '15', '8', '4', '4', '14', '14', '12', '3', '7', '13']",0.05,45.0,"[1, 2, 6, 11]","[10723, 1684, 456]",3.17,952683,17.0,15.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
21,"[11038, 12301, 12939]","['left', 'left', 'down']","[592, 741, 988, 1098, 1329, 1833, 2181, 2391, 2659, 2730, 3400, 3629, 3895, 4312, 4413, 4997, 5330, 5595, 5786]","['10', '6', '2', '2', '11', '17', '9', '5', '16', '16', '15', '8', '4', '14', '14', '12', '3', '7', '13']",0.05,45.0,"[1, 4, 8, 15]","[11038, 755, 127]",3.25,1000197,14.0,16.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
22,"[10597, 11488, 12044]","['down', 'down', 'right']","[592, 854, 1121, 1901, 2394, 2486, 2669, 3137, 3184, 3483, 4472, 4681, 4907, 5268, 6732, 7018, 7264, 7463, 7553]","['10', '2', '6', '11', '17', '17', '9', '5', '5', '16', '15', '8', '4', '14', '12', '3', '7', '13', '13']",0.05,45.0,"[1, 5, 9, 17]","[10597, 374, 46]",3.76,1048925,1.0,17.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
23,"[16386, 17146, 18253]","['left', 'left', 'down']","[3225, 3452, 3871, 3962, 4158, 4632, 4724, 4861, 5050, 5141, 5297, 5389, 5972, 6252, 6451, 6737, 7840, 8135, 8430, 8620]","['10', '6', '2', '2', '11', '17', '17', '9', '5', '5', '16', '16', '15', '8', '4', '14', '12', '3', '7', '13']",0.05,45.0,"[1, 4, 8, 15]","[16386, 246, 603]",3.07,1098651,4.0,18.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
24,"[10181, 11093, 12015]","['left', 'left', 'down']","[953, 1343, 1425, 1619, 2011, 2129, 2759, 3047, 3266, 3572, 4336, 4614, 4785, 4884, 5088, 5180, 6119, 6369, 6570, 6829, 6851]","['11', '2', '2', '6', '10', '10', '13', '7', '3', '12', '4', '8', '14', '14', '15', '15', '16', '9', '5', '17', '17']",0.05,45.0,"[1, 4, 8, 15]","[10180, 407, 413]",3.32,1145763,15.0,19.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
25,"[14457, 15021, 16468]","['up', 'up', 'right']","[1404, 1630, 1899, 3366, 3926, 4192, 4532, 4828, 5665, 5961, 6190, 6551, 7180, 7619, 7683, 7887, 8108]","['10', '6', '2', '11', '17', '9', '5', '16', '15', '8', '4', '14', '3', '12', '12', '7', '13']",0.05,45.0,"[1, 3, 7, 13]","[14457, 59, 940]",3.46,1196557,13.0,20.0,graph,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
31,"[36398, 37963, 39169]","['down', 'down', 'right']",[],[],0.05,45.0,"[1, 5, 9, 17]","[36396, 1049, 688]",5.51,342058,19.0,1.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
32,"[5084, 5984, 9564]","['up', 'up', 'right']",[],[],0.05,45.0,"[1, 3, 7, 13]","[5084, 391, 3072]",-0.87,409389,15.0,2.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
33,"[634, 1374, 2053]","['up', 'up', 'right']",[],[],0.05,45.0,"[1, 3, 7, 13]","[633, 229, 158]",0.47,497394,17.0,3.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
34,"[7124, 7854, 10522]","['right', 'right', 'up']","[842, 1581, 2504, 3199, 3922, 4549, 5077, 5795]","['10', '11', '17', '16', '15', '14', '12', '13']",0.05,45.0,"[1, 2, 6, 10]","[7124, 220, 2155]",2.22,608880,8.0,4.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
35,"[5641, 6309, 8809]","['up', 'up', 'left']","[828, 1762, 2526, 3066]","['12', '13', '10', '11']",0.05,45.0,"[1, 3, 7, 12]","[5640, 153, 1987]",3.81,763569,3.0,5.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
36,"[8762, 9590, 11420]","['up', 'up', 'right']","[3189, 3929, 4545, 5024, 5530, 6105, 6601, 7193]","['12', '13', '10', '11', '17', '16', '15', '14']",0.05,45.0,"[1, 3, 7, 13]","[8762, 319, 1315]",3.62,822411,9.0,6.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
37,"[8883, 9651, 10891]","['up', 'up', 'right']","[5325, 6010]","['12', '13']",0.05,45.0,"[1, 3, 7, 13]","[8883, 194, 720]",4.21,885415,13.0,7.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
38,"[12662, 13800, 16312]","['right', 'right', 'down']","[4652, 6134, 7139, 7747, 8241, 8709, 9295, 9921]","['12', '13', '10', '11', '17', '16', '15', '14']",0.05,45.0,"[1, 2, 6, 11]","[12662, 628, 2003]",4.93,974986,16.0,8.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
39,"[8755, 9443, 10464]","['up', 'up', 'right']","[2494, 3207, 3811, 4370, 5222, 5718, 6257, 6849]","['12', '13', '10', '11', '17', '16', '15', '14']",0.05,45.0,"[1, 3, 7, 13]","[8755, 173, 512]",0.62,1075993,18.0,9.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
40,"[4710, 5369, 6410]","['up', 'up', 'left']",[1368],['12'],0.05,45.0,"[1, 3, 7, 12]","[4710, 150, 520]",4.97,1145658,5.0,10.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
41,"[7239, 7927, 9299]","['down', 'down', 'right']","[981, 1585, 2309, 2902, 3464, 4150, 4774, 5331]","['12', '13', '10', '11', '17', '16', '15', '14']",0.05,45.0,"[1, 5, 9, 17]","[7239, 175, 864]",1.75,1202021,12.0,11.0,graph,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
