,creationDate,worker_id,assignment_id,pid
0,Thu Feb 23 14:00:17 2017,A03922113RU44GENR8ATX,3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,0
1,Thu Feb 23 14:00:17 2017,A11DOB7V9YBL4S,3PPTZCWALQKVKW40WYPYUMWN5L7QZ1,1
2,Thu Feb 23 14:00:17 2017,A11P1OS26E6AMO,3IKZ72A5B4G4CI08FU3AN0L0O5DFN2,2
3,Thu Feb 23 14:00:17 2017,A14NP6X071S7GK,3TY7ZAOG5FKC780FFZS9S1HSO8J0KE,3
4,Thu Feb 23 14:00:17 2017,A15FXHC1CVNW31,3FIJLY1B6U44F3CLV9G2RPQVOKEFPY,4
5,Thu Feb 23 14:00:17 2017,A1HRHFU7KTS0KW,3FFJ6VRIL1OL1DARFW7XFL2FW4U0I3,5
6,Thu Feb 23 14:00:17 2017,A1I9ZBV75AVWUS,3KWTYT08703MML4YX5AMOWQYUGZ5L7,6
7,Thu Feb 23 14:00:17 2017,A1IM6TFN3AAMBY,31UV0MXWNQCKWKWSC2D9WGY6DC55IT,7
8,Thu Feb 23 14:00:17 2017,A1WL3NZ50YEOWP,3LWJHTCVCCMPFFD0VMVRRUG5TG0FQP,8
9,Thu Feb 23 14:00:17 2017,A25AX0DNHKJCQT,3BF51CHDTVAL5IZ79EPCF910WRF0HA,9
10,Thu Feb 23 14:00:17 2017,A2COVA7FSAIH3D,38F71OA9GTWYU0F83TOAALW0JF3FM2,10
11,Thu Feb 23 14:00:17 2017,A2DWQF4ZHHBLOW,3NVC2EB65QZ385OT21BJ37UAPZBY31,11
12,Thu Feb 23 14:00:17 2017,A2H5V1V8QIY8Y7,3E1QT0TDFP93J2FUA0KC808XF268IY,12
13,Thu Feb 23 14:00:17 2017,A2HOUSKURBF8UA,3RXCAC0YIRPPNB9ZKCK9NOVH0PE8G6,13
14,Thu Feb 23 14:00:17 2017,A2V2I8HXL9EHQ1,3A1COHJ8NJV3N74A4I2R8O7IFPR8H5,14
15,Thu Feb 23 14:00:17 2017,A2VD133723IZR8,378XPAWRUCDH2Q897Y4Q4RES5Q6IAC,15
16,Thu Feb 23 14:00:17 2017,A2WGW5Y3ZFBDEC,3FDJT1UU748B2FMGC5YL9WDJ5GU5K4,16
17,Thu Feb 23 14:00:17 2017,A326O3VWP8TO8N,3IOEN3P9S7J5FI089E28WNVKS5616E,17
18,Thu Feb 23 14:00:17 2017,A33QXQVY6GU1FI,3VSOLARPKB9O74GLUPJ34Q1JGQR39I,18
19,Thu Feb 23 14:00:17 2017,A34930YXVQ8SUT,3NC5L260MOMMU30KG93N2PL5EFIFOH,19
20,Thu Feb 23 14:00:17 2017,A35HVY5S3USKZS,3Y9N9SS8LYB0AUT265O5QMK97B6D39,20
21,Thu Feb 23 14:00:17 2017,A3CWEIEY3TGJFX,3P529IW9KYLEOIXN3HNVA8HBJADFL0,21
22,Thu Feb 23 14:00:17 2017,A3MPHGI584PR1U,3NVC2EB65QZ385OT21BJ37UAPZBY31,22
23,Thu Feb 23 14:00:17 2017,A3OV174HQJIJK8,32SVAV9L3F92CNQQMVX30LC3M893AX,23
24,Thu Feb 23 14:00:17 2017,A5EU1AQJNC7F2,37ZHEEHM6WMKTLSSFSLJQUADL03376,24
25,Thu Feb 23 14:00:17 2017,AB1RF17U3HM3W,3HPZF4IVNMTRL5KCVUMKWAY4VCPCYE,25
26,Thu Feb 23 14:00:17 2017,AC5UD8N187QD6,3E47SOBEYQW5V557RC0HAM4G5TRICE,26
27,Thu Feb 23 14:00:17 2017,ACDX50KGPE97I,3ZWFC4W1UU7PRGS081KRWKQAP22FRQ,27
28,Thu Feb 23 14:00:17 2017,AERKFVXFXBVIW,3YHH42UU5BFNREIX0Z4A71U7D8O0LH,28
29,Thu Feb 23 14:00:17 2017,AFZKP8TAXAUCR,3BF51CHDTVAL5IZ79EPCF910WRF0HA,29
30,Thu Feb 23 14:00:17 2017,AK7NIT4IJ8X6D,336KAV9KYQSENNSAY1XEKXPIJLBY2Q,30
31,Thu Feb 23 14:00:17 2017,ANK8K5WTHJ61C,3RXPCZQMQPB7CBPELRBU8E89MJ9G1V,31
32,Thu Feb 23 14:00:17 2017,ATKG4FI2S5MVL,37ZHEEHM6WMKTLSSFSLJQUADL03376,32
33,Thu Feb 23 14:00:17 2017,AU849EHZNGV2Z,3FTOP5WARFOHWOUXXESXRMHF9JJ0JF,33
