,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid
4,"[44928, 46571, 48128]","['down', 'down', 'right']","[8130, 10936, 13193, 15200, 18318, 22317, 23864, 25646, 26896, 28161, 30817, 32364, 33410, 34753, 35816, 36983]","['3', '4', '5', '2', '14', '15', '8', '7', '12', '13', '6', '10', '11', '9', '17', '16']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 5, 9, 17]","[44927, 1120, 202]",38.4,468022,12.0,1.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
5,"[23381, 24968, 26668]","['up', 'up', 'right']","[2695, 5981, 6905, 8084, 9914, 11570, 12460, 14600, 15695, 16689]","['3', '4', '5', '2', '6', '10', '11', '7', '12', '13']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 13]","[23381, 23, 2]",46.0,520076,13.0,2.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
6,"[24462, 25713, 27328]","['right', 'right', 'down']","[2705, 3922, 4866, 5868, 7565, 8521, 9596, 13316, 14348, 15437, 16640, 17562, 18421, 20433]","['4', '3', '2', '5', '9', '16', '17', '7', '13', '12', '6', '10', '11', '8']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[24462, 131, 3]",36.6,570496,6.0,3.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
7,"[36260, 37396, 39012]","['up', 'up', 'right']","[1481, 2668, 3730, 4983, 6559, 7604, 8644, 11035, 13526, 16323, 17275, 18682, 19887, 21135]","['3', '4', '5', '2', '7', '12', '13', '9', '6', '10', '11', '8', '14', '15']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 13]","[36260, 2, 2]",37.6,619150,18.0,4.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
8,"[27845, 28848, 31035]","['left', 'left', 'up']","[985, 2306, 3459, 4475, 5866, 6862, 8227, 10075, 10992, 12026, 14168, 15482, 16576, 20169, 21731, 22625]","['3', '2', '5', '4', '9', '16', '17', '7', '12', '13', '8', '14', '15', '6', '11', '10']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[27844, 476, 841]",38.4,667465,0.0,5.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
9,"[40014, 41051, 42913]","['down', 'down', 'left']","[3206, 4996, 6394, 7274, 8285, 9410, 10301, 11718, 12844, 13805, 15879, 17111, 18424, 23156, 24257, 25445]","['3', '4', '5', '2', '6', '10', '11', '7', '12', '13', '8', '14', '15', '9', '16', '17']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 5, 9, 16]","[40014, 494, 542]",32.4,716605,7.0,6.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
10,"[25861, 26687, 28037]","['up', 'up', 'left']","[1853, 2896, 3866, 4886, 6229, 8073, 9542, 11138, 12760, 14653, 17281, 18182, 19072, 20478, 21479, 22307]","['3', '5', '2', '4', '7', '9', '13', '16', '17', '12', '8', '14', '15', '6', '10', '11']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[25860, 305, 2]",39.4,768706,8.0,7.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
11,"[25685, 27436, 29210]","['left', 'left', 'up']","[1263, 2280, 3248, 4218, 5748, 6672, 7671, 10076, 11216, 12123, 13732, 18108, 21687]","['3', '5', '2', '4', '9', '16', '17', '8', '14', '15', '6', '10', '7']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 4, 8, 14]","[25685, 3, 37]",38.7,817102,11.0,8.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
12,"[31973, 33306, 35006]","['right', 'right', 'up']","[1723, 2729, 3634, 4495, 5791, 7587, 8556, 9728, 12415, 13307, 14337, 15925, 17792, 18915, 21417]","['3', '5', '2', '4', '9', '17', '16', '7', '6', '10', '11', '13', '8', '14', '15']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[31973, 3, 79]",32.5,865497,3.0,9.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
13,"[27948, 28859, 30272]","['up', 'up', 'left']","[1027, 2193, 3028, 4210, 5739, 6834, 8068, 9384, 10385, 11568, 14276, 15411, 16302, 17583, 18744, 21241]","['3', '5', '2', '4', '7', '12', '13', '8', '14', '15', '6', '10', '11', '9', '16', '17']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 12]","[27948, 382, 34]",35.4,914283,15.0,10.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
14,"[19127, 21807, 23752]","['up', 'up', 'right']","[929, 1942, 2850, 3830, 4939, 5916, 7037, 9129, 10410, 11707, 12808, 14461, 15290]","['3', '5', '2', '4', '7', '12', '13', '6', '11', '9', '16', '8', '14']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 3, 7, 13]","[19127, 3, 4]",39.7,965471,19.0,11.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
15,"[65526, 66309, 67838]","['right', 'right', 'down']","[2594, 3667, 4580, 5537, 6956, 8205, 9861, 11414, 12376, 14036, 14947, 17489, 18423, 27838, 28773, 29807]","['3', '5', '2', '4', '7', '6', '9', '13', '12', '10', '11', '17', '16', '8', '14', '15']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 11]","[65525, 255, 107]",42.4,1039028,9.0,12.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
16,"[33111, 33866, 35269]","['right', 'right', 'up']","[1629, 2636, 3374, 4317, 5656, 6787, 7860, 9609, 11202, 12326, 13578, 14956, 18768, 20268, 21252, 22075]","['3', '4', '5', '2', '6', '10', '11', '7', '13', '12', '8', '14', '15', '9', '16', '17']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 2, 6, 10]","[33111, 226, 3]",20.4,1087495,16.0,13.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
17,"[19410, 20504, 22130]","['down', 'down', 'left']","[1645, 2518, 3455, 4533, 5785, 6737, 7580, 9145, 11085, 12128, 13170, 14113, 15221]","['3', '5', '2', '4', '7', '12', '13', '6', '10', '11', '9', '17', '16']",1.0,"[0, 0, 0]",0.1,45.0,"[1, 5, 9, 16]","[19410, 3, 2]",44.7,1135827,1.0,14.0,graph,A10ZOUOZZ3EOAJ,3ZOTGHDK5IBVY856MT3M9O4K3BBOSK,0
