,button_pressed,rt,stimulus,time_elapsed,trial_type,worker_id,assignment_id,pid
18,0.0,3703,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.02</p>",1136019,button-response,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
41,0.0,5151,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.08</p>",1326499,button-response,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
62,0.0,5571,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.64</p>",993375,button-response,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
81,0.0,9657,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.02</p>",754598,button-response,A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
108,0.0,3443,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.02</p>",1872215,button-response,A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
121,0.0,5334,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.94</p>",913436,button-response,A16ANYLVNPKCVG,3URFVVM165INCPBHD7934NTDA2NZUL,5
132,0.0,5420,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.70</p>",673456,button-response,A16BLPK5DB2XGM,3OJSZ2ATDSWN70FWTB9C5R8Y28Z57W,6
151,0.0,6357,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.64</p>",1049785,button-response,A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
164,0.0,11903,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.22</p>",1110029,button-response,A1743ZO14I4NFO,33SA9F9TRXU2TY9QCKAR11DS8S2WEL,8
177,0.0,3124,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.77</p>",592542,button-response,A18U9WMYFYJPR6,3ZSANO2JCF71SVSDNQKWMUV7EGLSFK,9
