,rt,time_elapsed,trial_type,view_history,worker_id,assignment_id,pid
0,183903,183903,instructions,"[{""page_index"":0,""viewing_time"":37352},{""page_index"":1,""viewing_time"":123},{""page_index"":0,""viewing_time"":611},{""page_index"":1,""viewing_time"":2016},{""page_index"":0,""viewing_time"":3506},{""page_index"":1,""viewing_time"":47100},{""page_index"":2,""viewing_time"":16993},{""page_index"":3,""viewing_time"":26724},{""page_index"":2,""viewing_time"":4765},{""page_index"":1,""viewing_time"":10287},{""page_index"":2,""viewing_time"":1325},{""page_index"":3,""viewing_time"":3594},{""page_index"":2,""viewing_time"":28560},{""page_index"":3,""viewing_time"":946}]",A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
2,67054,334295,instructions,"[{""page_index"":0,""viewing_time"":17741},{""page_index"":1,""viewing_time"":15835},{""page_index"":2,""viewing_time"":19072},{""page_index"":3,""viewing_time"":14404}]",A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
4,14422,531858,instructions,"[{""page_index"":0,""viewing_time"":2551},{""page_index"":1,""viewing_time"":6602},{""page_index"":2,""viewing_time"":3225},{""page_index"":3,""viewing_time"":2043}]",A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
6,6859,621867,instructions,"[{""page_index"":0,""viewing_time"":2729},{""page_index"":1,""viewing_time"":1802},{""page_index"":2,""viewing_time"":1390},{""page_index"":3,""viewing_time"":936}]",A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
8,6398,651849,instructions,"[{""page_index"":0,""viewing_time"":2450},{""page_index"":1,""viewing_time"":1126},{""page_index"":2,""viewing_time"":1266},{""page_index"":3,""viewing_time"":1555}]",A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
19,103627,103629,instructions,"[{""page_index"":0,""viewing_time"":14026},{""page_index"":1,""viewing_time"":47799},{""page_index"":2,""viewing_time"":20672},{""page_index"":3,""viewing_time"":21127}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
21,101476,410117,instructions,"[{""page_index"":0,""viewing_time"":96358},{""page_index"":1,""viewing_time"":2187},{""page_index"":2,""viewing_time"":1712},{""page_index"":3,""viewing_time"":1217}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
23,7444,457602,instructions,"[{""page_index"":0,""viewing_time"":2667},{""page_index"":1,""viewing_time"":1201},{""page_index"":2,""viewing_time"":2023},{""page_index"":3,""viewing_time"":1552}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
25,6665,502250,instructions,"[{""page_index"":0,""viewing_time"":2217},{""page_index"":1,""viewing_time"":1320},{""page_index"":2,""viewing_time"":1333},{""page_index"":3,""viewing_time"":1794}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
27,8070,600625,instructions,"[{""page_index"":0,""viewing_time"":2421},{""page_index"":1,""viewing_time"":2112},{""page_index"":2,""viewing_time"":1777},{""page_index"":3,""viewing_time"":1760}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
29,7232,691938,instructions,"[{""page_index"":0,""viewing_time"":2265},{""page_index"":1,""viewing_time"":1484},{""page_index"":2,""viewing_time"":1640},{""page_index"":3,""viewing_time"":1842}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
31,14171,815915,instructions,"[{""page_index"":0,""viewing_time"":3024},{""page_index"":1,""viewing_time"":2906},{""page_index"":2,""viewing_time"":2310},{""page_index"":3,""viewing_time"":5929}]",A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
42,198535,198537,instructions,"[{""page_index"":0,""viewing_time"":106864},{""page_index"":1,""viewing_time"":47375},{""page_index"":2,""viewing_time"":16576},{""page_index"":3,""viewing_time"":27720}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
44,84637,343215,instructions,"[{""page_index"":0,""viewing_time"":19006},{""page_index"":1,""viewing_time"":28752},{""page_index"":2,""viewing_time"":24024},{""page_index"":3,""viewing_time"":12855}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
46,19454,409112,instructions,"[{""page_index"":0,""viewing_time"":2477},{""page_index"":1,""viewing_time"":1240},{""page_index"":2,""viewing_time"":12096},{""page_index"":3,""viewing_time"":3640}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
48,27891,467695,instructions,"[{""page_index"":0,""viewing_time"":22955},{""page_index"":1,""viewing_time"":1888},{""page_index"":2,""viewing_time"":1288},{""page_index"":3,""viewing_time"":1760}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
50,4646,494151,instructions,"[{""page_index"":0,""viewing_time"":1734},{""page_index"":1,""viewing_time"":984},{""page_index"":2,""viewing_time"":928},{""page_index"":3,""viewing_time"":1000}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
52,8206,529167,instructions,"[{""page_index"":0,""viewing_time"":5462},{""page_index"":1,""viewing_time"":832},{""page_index"":2,""viewing_time"":848},{""page_index"":3,""viewing_time"":1064}]",A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
63,133570,133572,instructions,"[{""page_index"":0,""viewing_time"":87847},{""page_index"":1,""viewing_time"":18491},{""page_index"":2,""viewing_time"":16181},{""page_index"":3,""viewing_time"":11051}]",A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
65,4351,179234,instructions,"[{""page_index"":0,""viewing_time"":1800},{""page_index"":1,""viewing_time"":926},{""page_index"":2,""viewing_time"":926},{""page_index"":3,""viewing_time"":699}]",A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
67,3776,207408,instructions,"[{""page_index"":0,""viewing_time"":1153},{""page_index"":1,""viewing_time"":656},{""page_index"":2,""viewing_time"":874},{""page_index"":3,""viewing_time"":1092}]",A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
69,7431,226493,instructions,"[{""page_index"":0,""viewing_time"":4596},{""page_index"":1,""viewing_time"":946},{""page_index"":2,""viewing_time"":951},{""page_index"":3,""viewing_time"":938}]",A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
71,12942,256247,instructions,"[{""page_index"":0,""viewing_time"":10315},{""page_index"":1,""viewing_time"":520},{""page_index"":2,""viewing_time"":898},{""page_index"":3,""viewing_time"":1209}]",A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
82,163460,163464,instructions,"[{""page_index"":0,""viewing_time"":43842},{""page_index"":1,""viewing_time"":44038},{""page_index"":2,""viewing_time"":53290},{""page_index"":3,""viewing_time"":22286}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
84,55108,320111,instructions,"[{""page_index"":0,""viewing_time"":9017},{""page_index"":1,""viewing_time"":16713},{""page_index"":2,""viewing_time"":19626},{""page_index"":3,""viewing_time"":9752}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
86,11939,374569,instructions,"[{""page_index"":0,""viewing_time"":2287},{""page_index"":1,""viewing_time"":1127},{""page_index"":2,""viewing_time"":5821},{""page_index"":3,""viewing_time"":2700}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
88,75178,477843,instructions,"[{""page_index"":0,""viewing_time"":43132},{""page_index"":1,""viewing_time"":6227},{""page_index"":2,""viewing_time"":22281},{""page_index"":3,""viewing_time"":3538}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
90,94099,626702,instructions,"[{""page_index"":0,""viewing_time"":21587},{""page_index"":1,""viewing_time"":26108},{""page_index"":2,""viewing_time"":35378},{""page_index"":3,""viewing_time"":11026}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
92,15327,730055,instructions,"[{""page_index"":0,""viewing_time"":2369},{""page_index"":1,""viewing_time"":1758},{""page_index"":2,""viewing_time"":5415},{""page_index"":3,""viewing_time"":5785}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
94,90257,873124,instructions,"[{""page_index"":0,""viewing_time"":16953},{""page_index"":1,""viewing_time"":41140},{""page_index"":2,""viewing_time"":23881},{""page_index"":3,""viewing_time"":8283}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
96,9843,925123,instructions,"[{""page_index"":0,""viewing_time"":1984},{""page_index"":1,""viewing_time"":1243},{""page_index"":2,""viewing_time"":4865},{""page_index"":3,""viewing_time"":1751}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
98,155770,1109857,instructions,"[{""page_index"":0,""viewing_time"":83001},{""page_index"":1,""viewing_time"":8052},{""page_index"":2,""viewing_time"":23810},{""page_index"":1,""viewing_time"":12392},{""page_index"":0,""viewing_time"":10697},{""page_index"":1,""viewing_time"":1194},{""page_index"":2,""viewing_time"":5592},{""page_index"":3,""viewing_time"":11032}]",A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
109,255655,255655,instructions,"[{""page_index"":0,""viewing_time"":81169},{""page_index"":1,""viewing_time"":112189},{""page_index"":2,""viewing_time"":46044},{""page_index"":3,""viewing_time"":16252}]",A16ANYLVNPKCVG,3URFVVM165INCPBHD7934NTDA2NZUL,5
111,57018,379740,instructions,"[{""page_index"":0,""viewing_time"":13732},{""page_index"":1,""viewing_time"":22107},{""page_index"":2,""viewing_time"":9472},{""page_index"":3,""viewing_time"":11706}]",A16ANYLVNPKCVG,3URFVVM165INCPBHD7934NTDA2NZUL,5
122,110577,110581,instructions,"[{""page_index"":0,""viewing_time"":33518},{""page_index"":1,""viewing_time"":57424},{""page_index"":2,""viewing_time"":19633}]",A16BLPK5DB2XGM,3OJSZ2ATDSWN70FWTB9C5R8Y28Z57W,6
133,179316,179318,instructions,"[{""page_index"":0,""viewing_time"":30144},{""page_index"":1,""viewing_time"":43933},{""page_index"":2,""viewing_time"":32285},{""page_index"":3,""viewing_time"":18032},{""page_index"":2,""viewing_time"":1194},{""page_index"":1,""viewing_time"":687},{""page_index"":0,""viewing_time"":19184},{""page_index"":1,""viewing_time"":4726},{""page_index"":2,""viewing_time"":20551},{""page_index"":3,""viewing_time"":8578}]",A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
135,64540,295427,instructions,"[{""page_index"":0,""viewing_time"":25218},{""page_index"":1,""viewing_time"":22695},{""page_index"":2,""viewing_time"":6453},{""page_index"":3,""viewing_time"":10173}]",A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
137,151874,526820,instructions,"[{""page_index"":0,""viewing_time"":64568},{""page_index"":1,""viewing_time"":28696},{""page_index"":2,""viewing_time"":1547},{""page_index"":1,""viewing_time"":1719},{""page_index"":2,""viewing_time"":22379},{""page_index"":3,""viewing_time"":32963}]",A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
139,3673,608998,instructions,"[{""page_index"":0,""viewing_time"":1344},{""page_index"":1,""viewing_time"":781},{""page_index"":2,""viewing_time"":710},{""page_index"":3,""viewing_time"":837}]",A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
141,4763,629927,instructions,"[{""page_index"":0,""viewing_time"":1770},{""page_index"":1,""viewing_time"":1170},{""page_index"":2,""viewing_time"":947},{""page_index"":3,""viewing_time"":875}]",A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
152,367068,367070,instructions,"[{""page_index"":0,""viewing_time"":63741},{""page_index"":1,""viewing_time"":29362},{""page_index"":2,""viewing_time"":49346},{""page_index"":3,""viewing_time"":224618}]",A1743ZO14I4NFO,33SA9F9TRXU2TY9QCKAR11DS8S2WEL,8
154,101917,540760,instructions,"[{""page_index"":0,""viewing_time"":20389},{""page_index"":1,""viewing_time"":32868},{""page_index"":2,""viewing_time"":29020},{""page_index"":3,""viewing_time"":19638}]",A1743ZO14I4NFO,33SA9F9TRXU2TY9QCKAR11DS8S2WEL,8
165,5461,5464,instructions,"[{""page_index"":0,""viewing_time"":2211},{""page_index"":1,""viewing_time"":1587},{""page_index"":2,""viewing_time"":792},{""page_index"":3,""viewing_time"":869}]",A18U9WMYFYJPR6,3ZSANO2JCF71SVSDNQKWMUV7EGLSFK,9
167,3394,44077,instructions,"[{""page_index"":0,""viewing_time"":1023},{""page_index"":1,""viewing_time"":895},{""page_index"":2,""viewing_time"":709},{""page_index"":3,""viewing_time"":766}]",A18U9WMYFYJPR6,3ZSANO2JCF71SVSDNQKWMUV7EGLSFK,9
178,155009,155011,instructions,"[{""page_index"":0,""viewing_time"":43208},{""page_index"":1,""viewing_time"":78342},{""page_index"":2,""viewing_time"":19123},{""page_index"":3,""viewing_time"":14335}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
180,57212,350421,instructions,"[{""page_index"":0,""viewing_time"":15725},{""page_index"":1,""viewing_time"":24693},{""page_index"":2,""viewing_time"":7264},{""page_index"":3,""viewing_time"":9529}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
182,61216,455459,instructions,"[{""page_index"":0,""viewing_time"":6318},{""page_index"":1,""viewing_time"":22528},{""page_index"":2,""viewing_time"":20819},{""page_index"":3,""viewing_time"":11550}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
184,21533,527794,instructions,"[{""page_index"":0,""viewing_time"":14965},{""page_index"":1,""viewing_time"":4432},{""page_index"":2,""viewing_time"":1312},{""page_index"":3,""viewing_time"":823}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
186,10095,558715,instructions,"[{""page_index"":0,""viewing_time"":2254},{""page_index"":1,""viewing_time"":3856},{""page_index"":2,""viewing_time"":2384},{""page_index"":3,""viewing_time"":1600}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
188,56413,637900,instructions,"[{""page_index"":0,""viewing_time"":13708},{""page_index"":1,""viewing_time"":14175},{""page_index"":2,""viewing_time"":20721},{""page_index"":3,""viewing_time"":7808}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
190,79022,768243,instructions,"[{""page_index"":0,""viewing_time"":34805},{""page_index"":1,""viewing_time"":25385},{""page_index"":2,""viewing_time"":8991},{""page_index"":3,""viewing_time"":9840}]",A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
