,creationDate,worker_id,assignment_id,pid
0,Wed Apr  5 18:48:11 2017,A10GJ2FOR16B2I,33NF62TLXJ2J9E11172FA6WPQTQKJZ,0
1,Wed Apr  5 18:48:11 2017,A10VLJT7V96D9W,32M8BPYGATMICHLCTYW00DPW6XQGIM,1
2,Wed Apr  5 18:48:11 2017,A110JBKYAC0WAW,37C0GNLMHF3Z7DGKP7M3XPWUJYWD6Z,2
3,Wed Apr  5 18:48:11 2017,A12R2U6TBB3OOG,3KWTYT08703MML4YX5AMOWQZWCN5LR,3
4,Wed Apr  5 18:48:11 2017,A15XX0WDRG29E7,3H8DHMCCW9B66S19RBG4781CL9SDKD,4
5,Wed Apr  5 18:48:11 2017,A16ANYLVNPKCVG,3URFVVM165INCPBHD7934NTDA2NZUL,5
6,Wed Apr  5 18:48:11 2017,A16BLPK5DB2XGM,3OJSZ2ATDSWN70FWTB9C5R8Y28Z57W,6
7,Wed Apr  5 18:48:11 2017,A16SJ5D3DKUEXJ,3VBEN272MKZ76VO8YAQE4FVJFVSGSE,7
8,Wed Apr  5 18:48:11 2017,A1743ZO14I4NFO,33SA9F9TRXU2TY9QCKAR11DS8S2WEL,8
9,Wed Apr  5 18:48:11 2017,A18U9WMYFYJPR6,3ZSANO2JCF71SVSDNQKWMUV7EGLSFK,9
10,Wed Apr  5 18:48:11 2017,A19134KP9PBNXT,3HL8HNGX451JNGWEEKK55ZQHLCKF9N,10
11,Wed Apr  5 18:48:11 2017,A19C6T7B0H4PAQ,3QXNC7EIPIVSQCHOB21K2S3DGQ809E,11
12,Wed Apr  5 18:48:11 2017,A19IWME4DCIU1H,3PB5A5BD0V6LNX4GA7S39OZNR1W7G2,12
13,Wed Apr  5 18:48:11 2017,A1A6DUWWGNEE4W,339ANSOTR52NE3HVJPHFY5HPDE1KIN,13
14,Wed Apr  5 18:48:11 2017,A1AKTFYEZ493UQ,317HQ483I7SOM92YG29VQXYT79AINU,14
15,Wed Apr  5 18:48:11 2017,A1APYLD4DUK33J,3WR9XG3T63B5BHBWF6Q20Z2K2C047M,15
16,Wed Apr  5 18:48:11 2017,A1CN4UXQNL22OO,35BLDD71I6XNP40HIXJ809VWPPIZVT,16
17,Wed Apr  5 18:48:11 2017,A1EK8YNHZHTW1J,3GFK2QRXX9H2XFGX1JHOX77FUQKW5I,17
18,Wed Apr  5 18:48:11 2017,A1EN3FW93BSXQQ,3H7XDTSHKCR0DC5HIF0F14Y4L8QGWV,18
19,Wed Apr  5 18:48:11 2017,A1F1OZ54G177D8,3FPRZHYEPY7M4BTOXQOZW8QH9EXV39,19
20,Wed Apr  5 18:48:11 2017,A1F9KLZGHE9DTA,39JEC7537U1AHBP7QJZ0PBUBFRAVC7,20
21,Wed Apr  5 18:48:11 2017,A1FFMPJ0W6FHQ8,3MX2NQ3YC9UHMFLNBODAZQLM3LWX54,21
22,Wed Apr  5 18:48:11 2017,A1FGKIKJYSL1MI,3VFJCI1K4ZZV5GOVJLQ9E5QNTT3GRK,22
23,Wed Apr  5 18:48:11 2017,A1FQGVP8SX5WE2,3VELCLL3GKJ1YBTJA75CQT8YN0WF1E,23
24,Wed Apr  5 18:48:11 2017,A1G187YBG0DVMQ,3I2PTA7R3TU0V15EWXMO778B4OHKQP,24
25,Wed Apr  5 18:48:11 2017,A1GRPIBHW72HDU,3X65QVEQI0N7L6DDCFXU22W9OT9CL6,25
26,Wed Apr  5 18:48:11 2017,A1H51PXOUAMD7W,3DL65MZB8DFTF03LVTAQP76PGCKECU,26
27,Wed Apr  5 18:48:11 2017,A1IFF4KV23FGHJ,3EFE17QCRC5L6RJJIG8WPF7KUVYSHI,27
28,Wed Apr  5 18:48:11 2017,A1IXQS0AB02CPA,386PBUZZXFXUTKJJM7EGP694FTWLJ4,28
29,Wed Apr  5 18:48:11 2017,A1J9IYN46FX00O,3R8YZBNQ9HIC0MYUD3XF323PY4IQ7Q,29
30,Wed Apr  5 18:48:11 2017,A1KAIOBTXQ77A6,3SB5N7Y3O3475M4WP87UU9P0K360G8,30
31,Wed Apr  5 18:48:11 2017,A1KGCOR8OXYR72,3AZHRG4CU4K6BAS8UT0ABF0RFIL03N,31
32,Wed Apr  5 18:48:11 2017,A1L8EDNM7HZZAX,3EICBYG644W1QGPD9ULHMNJHK44CJ4,32
33,Wed Apr  5 18:48:11 2017,A1LMXY8R59ZUHU,3JC6VJ2SABJ5Q2DU0ELWFIAO20O5A9,33
34,Wed Apr  5 18:48:11 2017,A1LRDHZZUVF9AZ,3PW9OPU9PQKHXHH7MCQ56AE9EWR21H,34
35,Wed Apr  5 18:48:11 2017,A1MADOUB1BA0A5,3HUTX6F6VUN2T9O8SEOGI6RH8NF2OF,35
36,Wed Apr  5 18:48:11 2017,A1NGXQMOBCXDC3,3LKC68YZ3A3O5PMF6YDN6D76CU8WOP,36
37,Wed Apr  5 18:48:11 2017,A1NW6Q6P3NBHWE,3NG53N1RLVJV0O2YNVAWHX9A4S98PB,37
38,Wed Apr  5 18:48:11 2017,A1OQ3KL56KMQSU,35DR22AR5DKE80YJX5PHKTN2PP5X3E,38
39,Wed Apr  5 18:48:11 2017,A1P6OXEJ86HQRM,3ON104KXQKWK1WCXNEYESF11UNW4WE,39
40,Wed Apr  5 18:48:11 2017,A1QCQE5XW37LN1,33L7PJKHCGYTSGV54CJGM7A7TVMT8T,40
41,Wed Apr  5 18:48:11 2017,A1QFL2GS6L26HG,3TMSXRD2X6039XFE0WFCUHUYJJ51WE,41
42,Wed Apr  5 18:48:11 2017,A1RTD65R1H8MQW,3E337GFOL98AQIW3QE9S5LLDSWDGNV,42
43,Wed Apr  5 18:48:11 2017,A1S8DYWNS59XWB,3SNLUL3WO4N370UDY6IUW8IFW9TUL8,43
44,Wed Apr  5 18:48:11 2017,A1SLJKNSNHOJRN,3LOZAJ85YDDPNI20T5BC1JIAJB5X23,44
45,Wed Apr  5 18:48:11 2017,A1TL6GOSY0W1YC,3DH6GAKTYYP4TYVMN86S78ZQ6QYZYJ,45
46,Wed Apr  5 18:48:11 2017,A1U5BE8XJRXKW3,3L4D84MILZSS7O0TVMZIXEGXYCLJHT,46
47,Wed Apr  5 18:48:11 2017,A1U8RH67FLZW87,30BUDKLTXDV8GFU6GJNIB10FNFM5E4,47
48,Wed Apr  5 18:48:11 2017,A1V1BWPEQX90X1,3SUWZRL0MYD4ZJUKL2XN37EFKQ9E62,48
49,Wed Apr  5 18:48:11 2017,A1V1JNPU0KOA3X,3DEL4X4EL6LFO3V7MQI7ANJFYQ0XYK,49
50,Wed Apr  5 18:48:11 2017,A1V2H0UF94ATWY,3AAPLD8UCCHMLRWY7GDMZK36WEDHTX,50
51,Wed Apr  5 18:48:11 2017,A1VCAMP3XM62R4,3LYA37P8IQNDRV3PDFPYCIDCIORBKF,51
52,Wed Apr  5 18:48:11 2017,A1VHFF2VC2XG7P,3F0BG9B9MPNL9OPG4DE9GO6RXD2Y74,52
53,Wed Apr  5 18:48:11 2017,A1VW8Y7XCV3DRW,3LEIZ60CDJZPSXNEFWEC8R6ZXHE9Z5,53
54,Wed Apr  5 18:48:11 2017,A1WYDO7PQJ8UG,3TDXMTX3CBUGFOW6HLNEOMC7CJG6I3,54
55,Wed Apr  5 18:48:11 2017,A1XNVHBT1JTHQ,3OCHAWUVGOKK4Y6QIBHG1F441R4KXM,55
56,Wed Apr  5 18:48:11 2017,A1ZAFHQLJJFQ15,3TEM0PF1Q5X4T2U5NI6MOOM36VA0DL,56
57,Wed Apr  5 18:48:11 2017,A1ZN6V0PU8VVAH,3VD82FOHKQOFRRGAP7DMUJ03JYECON,57
58,Wed Apr  5 18:48:11 2017,A1ZWJF3V4NXN6H,3IHR8NYAM71UHNFWBSKJ0LT52664PT,58
59,Wed Apr  5 18:48:11 2017,A209V1OUPBH5XP,31T4R4OBOSG86LOB8LWKJXE8UPNC7D,59
60,Wed Apr  5 18:48:11 2017,A20Z5O57UDPFLX,39DD6S19JPB6NTEVN7UY057AOEUEZK,60
61,Wed Apr  5 18:48:11 2017,A21S7MA9DCW95E,3NJM2BJS4W6XCRSB47Q1JJ5TT3ACP4,61
62,Wed Apr  5 18:48:11 2017,A22KRF782ELLB0,354GIDR5ZB6AUITBB6IR9H2KC6100S,62
63,Wed Apr  5 18:48:11 2017,A22LZ62E0UC4VL,3FQ5JJ512LOFS4SMG5U73DD6ZDVKN3,63
64,Wed Apr  5 18:48:11 2017,A2389DERMNF3ZB,3BEFOD78W6TOWKIJJCSRJHZAX1V4MX,64
65,Wed Apr  5 18:48:11 2017,A23D936C6QLI2D,3O6CYIULED1JIU6C2KPW5JZVUGWWU2,65
66,Wed Apr  5 18:48:11 2017,A244EKNW5A7ETP,3OS46CRSLFZL1UG6GSMX3B21KLCV6P,66
67,Wed Apr  5 18:48:11 2017,A24LC97AU3QC7G,3X4JMASXCM9BE5WL9MFGTYY33AY0BE,67
68,Wed Apr  5 18:48:11 2017,A252Z0ZJ7PF59Q,3HFNH7HEMHEVTF9V66199FGIX70QGS,68
69,Wed Apr  5 18:48:11 2017,A259UZJQOOVE4V,35K3O9HUABD0ICNVMV0RXDRSDPEFE8,69
70,Wed Apr  5 18:48:11 2017,A26TY8FHMJ183C,3L6L49WXW0XQODXDRDB52FOOAQS54Y,70
